collection_id,collection_title
7594574,Combatting corruption in infrastructure delivery
7594610,Designing to meet demand for WASH services
7594583,Emergencies and disasters
7612001,Knowledge management and communication
7612022,Partnerships to improve access and quality of public transport
7612019,Public-private partnerships and the poor
7611635,Solid waste management
7611596,Urban services and infrastructure
7612034,Wastewater
7611650,Water and sanitation
7611641,Water safety plans
7611662,"Water supply, quality and enterprise"
